"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv2314c"	285	361	367	261	306	258
"Rv2315c"	253	307	343	227	246	271
"Rv2316"	20	19	16	20	8	55
"Rv2317"	12	16	16	12	15	35
"Rv2318"	54	45	67	51	40	82
"Rv2319c"	19	28	33	8	13	37
"Rv2320c"	52	64	68	55	75	93
"Rv2323c"	35	46	55	49	74	68
"Rv2324"	52	45	55	45	50	44
"Rv2325c"	260	362	398	288	376	231
"Rv2326c"	705	899	921	699	833	498
"Rv2327"	108	147	169	98	133	80
"Rv2328"	152	169	180	139	155	153
"Rv2329c"	1157	1319	1501	1412	1347	759
"Rv2330c"	29	13	36	34	19	39
"Rv2331"	270	281	286	261	206	53
"Rv2331A"	24	18	29	28	30	32
"Rv2332"	127	157	182	106	164	172
"Rv2333c"	193	211	211	196	204	133
"Rv2334"	287	305	284	278	317	181
"Rv2335"	127	139	144	127	151	77
"Rv2336"	437	477	478	449	397	160
"Rv2337c"	499	677	664	530	633	241
"Rv2338c"	435	543	577	498	409	160
"Rv2339"	656	594	738	705	575	374
"Rv2340c"	409	385	445	403	399	187
"Rv2341"	12	13	17	12	12	32
"Rv2342"	107	83	83	98	79	66
"Rv2343c"	575	713	782	559	653	380
"Rv2344c"	275	338	317	245	238	193
"Rv2345"	1135	1096	1129	952	916	422
"Rv2346c"	3331	3622	3198	2902	2423	1155
"Rv2347c"	2807	2951	2528	2685	2216	678
"Rv2348c"	2417	2493	2402	2289	1929	469
"Rv2349c"	342	387	409	336	296	336
"Rv2350c"	325	346	340	309	291	294
"Rv2351c"	248	304	333	234	245	203
"Rv2352c"	543	748	1061	1207	929	218
"Rv2353c"	2	4	4	3	6	40
"Rv2357c"	388	496	517	390	389	297
"Rv2358"	72	81	89	57	76	47
"Rv2359"	89	115	125	89	122	48
"Rv2360c"	72	91	91	94	98	42
"Rv2361c"	130	154	138	133	150	90
"Rv2362c"	112	132	155	129	120	109
"Rv2363"	90	104	130	72	113	128
"Rv2364c"	108	114	90	106	104	99
"Rv2365c"	28	23	28	26	41	22
"Rv2366c"	185	279	224	202	254	210
"Rv2367c"	91	115	116	98	106	88
"Rv2368c"	792	668	736	721	823	316
"Rv2369c"	12	18	14	16	10	6
"Rv2370c"	53	49	66	67	36	56
"Rv2371"	27	21	26	16	28	16
"Rv2372c"	207	264	275	191	239	122
"Rv2373c"	441	532	530	440	485	228
"Rv2374c"	479	495	463	417	432	191
"Rv2375"	691	584	609	645	517	128
"Rv2376c"	979	915	1164	1139	953	470
"Rv2377c"	14	12	11	11	6	17
"Rv2378c"	56	52	71	46	42	89
"Rv2379c"	262	328	288	269	244	333
"Rv2380c"	222	266	263	223	230	387
"Rv2381c"	112	114	143	101	134	213
"Rv2382c"	37	52	51	40	42	85
"Rv2383c"	138	214	181	141	210	355
"Rv2384"	21	21	28	20	21	112
"Rv2385"	47	44	41	50	43	51
"Rv2386a"	96	72	73	104	77	21
"Rv2386c"	17	37	35	27	42	83
"Rv2387"	240	254	260	259	204	143
"Rv2388c"	280	303	294	254	289	156
